figure,variant,snr_db,trial_id,seed,receiver_mode,K,paper_k,effective_K,selected_branch,reliability_decision,trigger_reasons,gof_pass,position_error_m,peb_position_m,error_over_peb,relative_outlier_5peb,y_nmse,raw_objective_final,direct_candidate_position_error_m,direct_candidate_y_nmse,direct_candidate_raw_objective,rescue_candidate_position_error_m,rescue_candidate_y_nmse,rescue_candidate_raw_objective,rescue_candidate_available,rescue_accept_decision,rescue_reject_reason,direct_candidate_lambda_jones_per_path,direct_candidate_snr_eff_per_path,direct_candidate_jones_leakage_per_path,rescue_candidate_lambda_jones_per_path,rescue_candidate_snr_eff_per_path,rescue_candidate_jones_leakage_per_path,direct_candidate_data_only_scaled_efim_lambda_min,direct_candidate_data_only_scaled_efim_condition_number,rescue_candidate_data_only_scaled_efim_lambda_min,rescue_candidate_data_only_scaled_efim_condition_number,legacy_stage1_decision,gof_reliability_decision,stage1_geometry_trigger,stage1_geometry_trigger_reasons
fig1_fig2,free_jones_vp,-10.0,4,287230138,full_6d,3,3,3,direct_vp,direct_vp,"[""poor_clock_consistency""]",True,0.0032017681918593594,0.001003554190456147,3.190428800266436,False,0.00026679165751241523,4.943290734316535,0.0032017681918593594,0.00026679165751241523,4.943290734316535,nan,nan,nan,False,not_run,not_requested,"[0.0,0.0,0.0]",,"[7.109979080286746e-05,3.1058673450794345e-06,0.0001292813421349698]",,,,920330.7434199442,76.03604192503404,nan,nan,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]"
fig1_fig2,free_jones_vp_gated_rescue,-10.0,4,287230138,full_6d,3,3,3,direct_vp,direct_vp,"[""poor_clock_consistency""]",True,0.0032017681918593594,0.001003554190456147,3.190428800266436,False,0.00026679165751241523,4.943290734316535,0.0032017681918593594,0.00026679165751241523,4.943290734316535,nan,nan,nan,False,not_run,not_requested,"[0.0,0.0,0.0]",,"[7.109979080286746e-05,3.1058673450794345e-06,0.0001292813421349698]",,,,920330.7434199442,76.03604192503404,nan,nan,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]"
fig1_fig2,free_jones_vp_geometry_gated_rescue,-10.0,4,287230138,full_6d,3,3,3,direct_vp_rollback,jnpp_then_vp,"[""poor_clock_consistency""]",True,0.0032017681918593594,0.001003554190456147,3.190428800266436,False,0.00026679165751241523,4.943290734316535,0.0032017681918593594,0.00026679165751241523,4.943290734316535,0.002590743347587471,4.825171959098317e-05,4.943111671352492,True,rollback,existing_selector_rollback,"[0.0,0.0,0.0]",,"[7.109979080286746e-05,3.1058673450794345e-06,0.0001292813421349698]","[0.0,0.0,0.0]",,"[7.51938804083411e-05,3.3718096783995812e-06,0.00012978250581551827]",920330.7434199442,76.03604192503404,921568.0626163784,76.03497413470075,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]"
fig1_fig2,free_jones_vp_force_rescue,-10.0,4,287230138,full_6d,3,3,3,direct_vp_rollback,jnpp_then_vp,"[""poor_clock_consistency""]",True,0.0032017681918593594,0.001003554190456147,3.190428800266436,False,0.00026679165751241523,4.943290734316535,0.0032017681918593594,0.00026679165751241523,4.943290734316535,0.002590743347587471,4.825171959098317e-05,4.943111671352492,True,rollback,existing_selector_rollback,"[0.0,0.0,0.0]",,"[7.109979080286746e-05,3.1058673450794345e-06,0.0001292813421349698]","[0.0,0.0,0.0]",,"[7.51938804083411e-05,3.3718096783995812e-06,0.00012978250581551827]",920330.7434199442,76.03604192503404,921568.0626163784,76.03497413470075,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]"
fig1_fig2,free_jones_vp_force_rescue_lower_raw,-10.0,4,287230138,full_6d,3,3,3,ris_only_stage2_then_vp,jnpp_then_vp,"[""poor_clock_consistency""]",True,0.002590743347587471,0.001003554190456147,2.581567963370166,False,4.825171959098317e-05,4.943111671352492,0.0032017681918593594,0.00026679165751241523,4.943290734316535,0.002590743347587471,4.825171959098317e-05,4.943111671352492,True,accepted,accepted,"[0.0,0.0,0.0]",,"[7.109979080286746e-05,3.1058673450794345e-06,0.0001292813421349698]","[0.0,0.0,0.0]",,"[7.51938804083411e-05,3.3718096783995812e-06,0.00012978250581551827]",920330.7434199442,76.03604192503404,921568.0626163784,76.03497413470075,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]"
fig1_fig2,free_jones_vp_geometry_gated_lower_raw,-10.0,4,287230138,full_6d,3,3,3,ris_only_stage2_then_vp,jnpp_then_vp,"[""poor_clock_consistency""]",True,0.002590743347587471,0.001003554190456147,2.581567963370166,False,4.825171959098317e-05,4.943111671352492,0.0032017681918593594,0.00026679165751241523,4.943290734316535,0.002590743347587471,4.825171959098317e-05,4.943111671352492,True,accepted,accepted,"[0.0,0.0,0.0]",,"[7.109979080286746e-05,3.1058673450794345e-06,0.0001292813421349698]","[0.0,0.0,0.0]",,"[7.51938804083411e-05,3.3718096783995812e-06,0.00012978250581551827]",920330.7434199442,76.03604192503404,921568.0626163784,76.03497413470075,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]"
fig1_fig2,free_jones_vp,-10.0,3,3422926171,full_6d,3,3,3,direct_vp,direct_vp,"[""poor_clock_consistency""]",True,0.006998551784337017,0.0010931293132064352,6.402309131943802,True,0.0013389672473519416,2.7818542789486,0.006998551784337017,0.0013389672473519416,2.7818542789486,nan,nan,nan,False,not_run,not_requested,"[0.0,0.0,0.0]",,"[0.00013364787929929327,5.0631235075728735e-06,2.2457197976916133e-05]",,,,860165.1214229974,79.63819440480904,nan,nan,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]"
fig1_fig2,free_jones_vp_gated_rescue,-10.0,3,3422926171,full_6d,3,3,3,direct_vp,direct_vp,"[""poor_clock_consistency""]",True,0.006998551784337017,0.0010931293132064352,6.402309131943802,True,0.0013389672473519416,2.7818542789486,0.006998551784337017,0.0013389672473519416,2.7818542789486,nan,nan,nan,False,not_run,not_requested,"[0.0,0.0,0.0]",,"[0.00013364787929929327,5.0631235075728735e-06,2.2457197976916133e-05]",,,,860165.1214229974,79.63819440480904,nan,nan,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]"
fig1_fig2,free_jones_vp_geometry_gated_rescue,-10.0,3,3422926171,full_6d,3,3,3,direct_vp_rollback,jnpp_then_vp,"[""poor_clock_consistency""]",True,0.006998551784337017,0.0010931293132064352,6.402309131943802,True,0.0013389672473519416,2.7818542789486,0.006998551784337017,0.0013389672473519416,2.7818542789486,0.005112977446654998,0.0001746730771516706,2.781462480953541,True,rollback,existing_selector_rollback,"[0.0,0.0,0.0]",,"[0.00013364787929929327,5.0631235075728735e-06,2.2457197976916133e-05]","[0.0,0.0,0.0]",,"[0.00013875262662227362,4.234018465495291e-06,2.307185878398476e-05]",860165.1214229974,79.63819440480904,865015.4053706705,78.59744731180945,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]"
fig1_fig2,free_jones_vp_force_rescue,-10.0,3,3422926171,full_6d,3,3,3,direct_vp_rollback,jnpp_then_vp,"[""poor_clock_consistency""]",True,0.006998551784337017,0.0010931293132064352,6.402309131943802,True,0.0013389672473519416,2.7818542789486,0.006998551784337017,0.0013389672473519416,2.7818542789486,0.005112977446654998,0.0001746730771516706,2.781462480953541,True,rollback,existing_selector_rollback,"[0.0,0.0,0.0]",,"[0.00013364787929929327,5.0631235075728735e-06,2.2457197976916133e-05]","[0.0,0.0,0.0]",,"[0.00013875262662227362,4.234018465495291e-06,2.307185878398476e-05]",860165.1214229974,79.63819440480904,865015.4053706705,78.59744731180945,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]"
